"Date","名目暦年(前年比):国内総生産(支出側)","名目暦年(前年比):民間最終消費支出","名目暦年(前年比):民間最終消費支出:家計最終消費支出","名目暦年(前年比):民間最終消費支出:家計最終消費支出:除く持ち家の帰属家賃","名目暦年(前年比):民間住宅","名目暦年(前年比):民間企業設備","名目暦年(前年比):民間在庫変動","名目暦年(前年比):政府最終消費支出","名目暦年(前年比):公的固定資本形成","名目暦年(前年比):公的在庫変動","名目暦年(前年比):財貨・サービス:純輸出","名目暦年(前年比):財貨・サービス:輸出","名目暦年(前年比):財貨・サービス:輸入"
1995-01-01,2.2,2.1,2.1,1.7,-5.5,6.5,,4.5,-0.1,,,1.8,10.9
1996-01-01,2.6,2.1,2.1,1.8,11.8,3.8,,3.2,5.3,,,8.4,20.4
1997-01-01,1.6,1.9,1.9,1.5,-10.1,3.5,,2.6,-5.9,,,13,6.6
1998-01-01,-1.2,-0.6,-0.8,-1.5,-15.1,-2.2,,1.1,-5.5,,,-1.4,-9.3
1999-01-01,-1.6,0.5,0.3,0.1,-1.1,-6.8,,1.9,4.1,,,-6.9,-5.1
2000-01-01,1.4,0.6,0.8,0.6,0.1,5.1,,3.4,-9.9,,,8.2,11
2001-01-01,-0.7,0.8,0.8,0.6,-5.5,-2.6,,3.3,-5.2,,,-4.4,3.3
2002-01-01,-1.3,-0.2,-0.2,-0.5,-4.3,-8,,2,-6.1,,,6.3,-0.3
2003-01-01,-0.1,-0.4,-0.5,-0.8,-1.4,-0.2,,0.3,-7.4,,,5.5,2.7
2004-01-01,1.1,0.7,0.7,0.5,2.1,2.2,,0.6,-8.6,,,12.7,11.3
2005-01-01,0.6,0.8,0.8,0.5,-0.1,7.8,,0.7,-7.4,,,8.7,14.9
2006-01-01,0.5,1,1,0.8,2.3,2.3,,-0.4,-3.5,,,13.9,16.2
2007-01-01,0.9,0.5,0.6,0.4,-7.7,0.8,,0.9,-4.2,,,11.2,8.9
2008-01-01,-2.1,-0.4,-0.4,-0.7,-4.3,-2.4,,0.2,-2.5,,,-2.5,6.6
2009-01-01,-6,-2.9,-3,-3.7,-18.4,-15.9,,0.5,3.9,,,-32.4,-33.7
2010-01-01,2.2,0.9,0.9,1,-4.5,-2,,1.5,-2.8,,,22.8,15.9
2011-01-01,-1.8,-0.9,-1.1,-1.4,5.1,2.7,,1.7,-6.3,,,-2.5,11.9
2012-01-01,0.7,1.4,1.3,1.5,1.6,3.7,,1,2.2,,,-1.8,4.8
2013-01-01,1.7,2.2,2.2,2.6,10.5,4.1,,1.2,7.8,,,11.2,15.2
2014-01-01,2.1,1.2,1.3,1.5,-0.9,6.4,,2.1,3.4,,,12.6,12.1
2015-01-01,3.2,0,-0.1,-0.2,-0.7,2,,1.7,-0.8,,,3.8,-6.8
2016-01-01,1.3,0,-0.1,-0.2,4.8,0.5,,1,-3.8,,,-7.3,-14.9
